subject,experiment,wrote_notes,enc_modality,ret_modality,plis,pli_recency
MTK0002,1,0,v,v,0.0,
MTK0002,1,0,v,a,0.0,
MTK0002,1,0,a,v,0.0,
MTK0002,1,0,a,a,0.0,
MTK0003,1,0,v,v,0.14285714285714285,0.0
MTK0003,1,0,v,a,0.0,
MTK0003,1,0,a,v,0.0,
MTK0003,1,0,a,a,0.0,
MTK0004,1,0,v,v,0.0,
MTK0004,1,0,v,a,0.125,1.0
MTK0004,1,0,a,v,0.0,
MTK0004,1,0,a,a,0.0,
MTK0005,1,0,v,v,0.14285714285714285,0.0
MTK0005,1,0,v,a,0.0,
MTK0005,1,0,a,v,0.25,0.5454545454545454
MTK0005,1,0,a,a,0.0,
MTK0006,1,0,v,v,0.0,
MTK0006,1,0,v,a,0.0,
MTK0006,1,0,a,v,0.0,
MTK0006,1,0,a,a,0.0,
MTK0007,1,0,v,v,0.0,
MTK0007,1,0,v,a,0.125,1.0
MTK0007,1,0,a,v,0.0,
MTK0007,1,0,a,a,0.0,
MTK0010,1,0,v,v,0.0,
MTK0010,1,0,v,a,0.5,0.23529411764705882
MTK0010,1,0,a,v,0.16666666666666666,0.0
MTK0010,1,0,a,a,0.2857142857142857,0.0
MTK0011,1,0,v,v,0.14285714285714285,0.0
MTK0011,1,0,v,a,0.0,
MTK0011,1,0,a,v,0.0,
MTK0011,1,0,a,a,0.42857142857142855,0.6666666666666666
MTK0012,1,0,v,v,0.0,
MTK0012,1,0,v,a,0.0,
MTK0012,1,0,a,v,0.0,
MTK0012,1,0,a,a,0.14285714285714285,1.0
MTK0013,1,0,v,v,0.14285714285714285,0.0
MTK0013,1,0,v,a,0.0,
MTK0013,1,0,a,v,0.125,0.0
MTK0013,1,0,a,a,0.0,
MTK0014,1,0,v,v,0.0,
MTK0014,1,0,v,a,0.125,0.0
MTK0014,1,0,a,v,0.4,0.625
MTK0014,1,0,a,a,0.2857142857142857,0.0
MTK0015,1,0,v,v,0.0,
MTK0015,1,0,v,a,0.0,
MTK0015,1,0,a,v,0.0,
MTK0015,1,0,a,a,0.2857142857142857,1.0
MTK0016,1,0,v,v,0.8571428571428571,0.489795918367347
MTK0016,1,0,v,a,0.0,
MTK0016,1,0,a,v,0.5,0.27027027027027023
MTK0016,1,0,a,a,0.5714285714285714,0.4444444444444444
MTK0017,1,0,v,v,0.0,
MTK0017,1,0,v,a,0.0,
MTK0017,1,0,a,v,0.0,
MTK0017,1,0,a,a,0.14285714285714285,0.0
MTK0020,1,0,v,v,0.0,
MTK0020,1,0,v,a,0.125,0.0
MTK0020,1,0,a,v,0.0,
MTK0020,1,0,a,a,0.2857142857142857,0.0
MTK0021,1,0,v,v,0.0,
MTK0021,1,0,v,a,0.0,
MTK0021,1,0,a,v,0.0,
MTK0021,1,0,a,a,0.0,
MTK0022,1,0,v,v,0.0,
MTK0022,1,0,v,a,0.0,
MTK0022,1,0,a,v,0.0,
MTK0022,1,0,a,a,0.0,
MTK0023,1,0,v,v,0.14285714285714285,1.0
MTK0023,1,0,v,a,0.125,0.0
MTK0023,1,0,a,v,0.16666666666666666,1.0
MTK0023,1,0,a,a,0.0,
MTK0024,1,0,v,v,0.0,
MTK0024,1,0,v,a,0.0,
MTK0024,1,0,a,v,0.0,
MTK0024,1,0,a,a,0.0,
MTK0026,1,0,v,v,0.14285714285714285,0.0
MTK0026,1,0,v,a,0.16666666666666666,1.0
MTK0026,1,0,a,v,0.0,
MTK0026,1,0,a,a,0.0,
MTK0027,1,0,v,v,0.0,
MTK0027,1,0,v,a,0.0,
MTK0027,1,0,a,v,0.0,
MTK0027,1,0,a,a,0.0,
MTK0028,1,0,v,v,0.0,
MTK0028,1,0,v,a,0.0,
MTK0028,1,0,a,v,0.0,
MTK0028,1,0,a,a,0.0,
MTK0029,1,0,v,v,0.14285714285714285,1.0
MTK0029,1,0,v,a,0.14285714285714285,0.0
MTK0029,1,0,a,v,0.125,1.0
MTK0029,1,0,a,a,0.0,
MTK0031,1,0,v,v,0.14285714285714285,0.0
MTK0031,1,0,v,a,0.0,
MTK0031,1,0,a,v,0.0,
MTK0031,1,0,a,a,0.14285714285714285,1.0
MTK0032,1,0,v,v,0.0,
MTK0032,1,0,v,a,0.0,
MTK0032,1,0,a,v,0.0,
MTK0032,1,0,a,a,0.14285714285714285,1.0
MTK0033,1,0,v,v,0.2857142857142857,0.4285714285714286
MTK0033,1,0,v,a,0.0,
MTK0033,1,0,a,v,0.125,0.0
MTK0033,1,0,a,a,0.0,
MTK0037,1,0,v,v,0.2857142857142857,0.0
MTK0037,1,0,v,a,0.16666666666666666,1.0
MTK0037,1,0,a,v,0.125,0.0
MTK0037,1,0,a,a,0.42857142857142855,0.0
MTK0039,1,0,v,v,0.0,
MTK0039,1,0,v,a,0.25,0.4285714285714286
MTK0039,1,0,a,v,0.3333333333333333,0.0
MTK0039,1,0,a,a,0.0,
MTK0041,1,0,v,v,0.0,
MTK0041,1,0,v,a,0.0,
MTK0041,1,0,a,v,0.125,0.0
MTK0041,1,0,a,a,0.0,
MTK0042,1,0,v,v,0.14285714285714285,0.0
MTK0042,1,0,v,a,0.16666666666666666,1.0
MTK0042,1,0,a,v,0.0,
MTK0042,1,0,a,a,0.14285714285714285,0.0
MTK0043,1,0,v,v,0.0,
MTK0043,1,0,v,a,0.0,
MTK0043,1,0,a,v,0.14285714285714285,0.0
MTK0043,1,0,a,a,0.14285714285714285,0.0
MTK0044,1,0,v,v,0.0,
MTK0044,1,0,v,a,0.0,
MTK0044,1,0,a,v,0.0,
MTK0044,1,0,a,a,0.0,
MTK0045,1,0,v,v,0.42857142857142855,0.25
MTK0045,1,0,v,a,0.2857142857142857,0.0
MTK0045,1,0,a,v,0.25,0.0
MTK0045,1,0,a,a,0.14285714285714285,1.0
MTK0047,1,0,v,v,0.0,
MTK0047,1,0,v,a,0.0,
MTK0047,1,0,a,v,0.0,
MTK0047,1,0,a,a,0.0,
MTK0048,1,0,v,v,0.0,
MTK0048,1,0,v,a,0.0,
MTK0048,1,0,a,v,0.0,
MTK0048,1,0,a,a,0.14285714285714285,1.0
MTK0049,1,0,v,v,0.0,
MTK0049,1,0,v,a,0.0,
MTK0049,1,0,a,v,0.125,0.0
MTK0049,1,0,a,a,0.14285714285714285,0.0
MTK0050,1,0,v,v,0.0,
MTK0050,1,0,v,a,0.16666666666666666,0.0
MTK0050,1,0,a,v,0.0,
MTK0050,1,0,a,a,0.14285714285714285,0.0
MTK0051,1,0,v,v,0.0,
MTK0051,1,0,v,a,0.0,
MTK0051,1,0,a,v,0.0,
MTK0051,1,0,a,a,0.14285714285714285,0.0
MTK0052,1,0,v,v,0.0,
MTK0052,1,0,v,a,0.0,
MTK0052,1,0,a,v,0.0,
MTK0052,1,0,a,a,0.2857142857142857,1.0
MTK0053,1,0,v,v,0.0,
MTK0053,1,0,v,a,0.25,0.0
MTK0053,1,0,a,v,0.0,
MTK0053,1,0,a,a,0.0,
MTK0054,1,0,v,v,0.0,
MTK0054,1,0,v,a,0.0,
MTK0054,1,0,a,v,0.0,
MTK0054,1,0,a,a,0.14285714285714285,0.0
