subject,experiment,wrote_notes,list_num,modality,list_length,pres_rate,start_position,rec1,rec2,rec3,rec4,rec5,rec6,rec7,rec8,rec9,rec10,rec11,rec12,rec13,rec14,rec15,rec16,rec17,rec18,rec19,rec20,rec21,rec22,rec23,rec24,pres_itemno1,pres_itemno2,pres_itemno3,pres_itemno4,pres_itemno5,pres_itemno6,pres_itemno7,pres_itemno8,pres_itemno9,pres_itemno10,pres_itemno11,pres_itemno12,pres_itemno13,pres_itemno14,pres_itemno15,pres_itemno16,pres_itemno17,pres_itemno18,pres_itemno19,pres_itemno20,pres_itemno21,pres_itemno22,pres_itemno23,pres_itemno24,ffr_rec1,ffr_rec2,ffr_rec3,ffr_rec4,ffr_rec5,ffr_rec6,ffr_rec7,ffr_rec8,ffr_rec9,ffr_rec10,ffr_rec11,ffr_rec12,ffr_rec13,ffr_rec14,ffr_rec15,ffr_rec16,ffr_rec17,ffr_rec18,ffr_rec19,ffr_rec20,ffr_rec21,ffr_rec22,ffr_rec23,ffr_rec24,rec_serialpos1,rec_serialpos2,rec_serialpos3,rec_serialpos4,rec_serialpos5,rec_serialpos6,rec_serialpos7,rec_serialpos8,rec_serialpos9,rec_serialpos10,rec_serialpos11,rec_serialpos12,rec_serialpos13,rec_serialpos14,rec_serialpos15,rec_serialpos16,rec_serialpos17,rec_serialpos18,rec_serialpos19,rec_serialpos20,rec_serialpos21,rec_serialpos22,rec_serialpos23,rec_serialpos24,rec_serialpos25,rec_serialpos26,rec_serialpos27,rec_serialpos28,rec_serialpos29,rec_serialpos30,rec_serialpos31,rec_serialpos32,rec_serialpos33,rec_serialpos34,rec_serialpos35,rec_serialpos36,rec_serialpos37,rec_serialpos38,rec_serialpos39,rec_serialpos40,rec_serialpos41,rec_serialpos42,rec_serialpos43,rec_serialpos44,rec_serialpos45,rec_serialpos46,rec_serialpos47,rec_serialpos48
MTK0002,1,0,1,a,18,1200,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,726.0,573.0,601.0,874.0,561.0,628.0,1066.0,1620.0,384.0,1565.0,1609.0,1065.0,162.0,642.0,1422.0,211.0,127.0,861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,2.0,5.0,3.0,-999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,2,v,18,1200,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,,,,1032.0,1369.0,1508.0,1016.0,299.0,593.0,159.0,912.0,935.0,1117.0,834.0,360.0,509.0,340.0,746.0,559.0,109.0,1503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,4.0,14.0,10.0,18.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,3,v,24,1600,4,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,546.0,1416.0,1358.0,1343.0,400.0,804.0,1331.0,858.0,820.0,849.0,226.0,1159.0,585.0,492.0,483.0,1515.0,1075.0,785.0,1327.0,645.0,258.0,5.0,63.0,635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,6.0,10.0,11.0,12.0,18.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,4,v,12,1600,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,53.0,280.0,307.0,812.0,441.0,996.0,623.0,1080.0,1031.0,1009.0,953.0,1493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2.0,3.0,7.0,8.0,9.0,-999.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,5,a,12,1600,9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,401.0,171.0,1202.0,900.0,1415.0,1251.0,895.0,696.0,959.0,1562.0,429.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,9.0,1.0,6.0,-3.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,6,v,24,800,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,91.0,1076.0,1357.0,618.0,1299.0,1024.0,963.0,325.0,417.0,1312.0,833.0,999.0,1460.0,1578.0,814.0,88.0,175.0,508.0,997.0,33.0,541.0,843.0,1512.0,888.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,17.0,21.0,22.0,24.0,6.0,7.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,7,a,24,800,21,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1250.0,383.0,1060.0,1411.0,1526.0,313.0,1496.0,731.0,792.0,1139.0,1341.0,929.0,295.0,315.0,1488.0,61.0,610.0,857.0,591.0,1557.0,995.0,1260.0,654.0,1215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,23.0,24.0,15.0,14.0,6.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,8,a,24,800,17,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,405.0,1096.0,327.0,1370.0,598.0,699.0,446.0,64.0,1085.0,1521.0,1158.0,1626.0,139.0,1192.0,976.0,728.0,1407.0,1408.0,1545.0,484.0,599.0,216.0,172.0,1292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,18.0,24.0,19.0,1.0,3.0,4.0,10.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,9,v,24,800,1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1333.0,1608.0,1351.0,1420.0,675.0,476.0,553.0,336.0,1527.0,368.0,1355.0,1451.0,1088.0,1303.0,29.0,718.0,737.0,230.0,108.0,466.0,415.0,278.0,1593.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,19.0,16.0,23.0,3.0,12.0,4.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTK0002,1,0,10,v,24,1600,24,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1140.0,1522.0,866.0,1152.0,1294.0,1044.0,410.0,24.0,1246.0,495.0,407.0,769.0,1403.0,783.0,1092.0,1006.0,1332.0,1328.0,358.0,253.0,1047.0,798.0,68.0,1486.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,2.0,6.0,17.0,23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
