subject,age,education,ethnicity,gender,gender_other,language,marital,origin,race,race_other,strat_categorize_aud,strat_categorize_vis,strat_image_aud,strat_image_vis,strat_rehearsal_aud,strat_rehearsal_vis,strat_spatial_aud,strat_spatial_vis,strat_story_aud,strat_story_vis,strat_other,wrote_notes,distracted
MTK0002,39,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0003,35,Master's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0004,31,High school diploma,Not Hispanic,Female,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0005,27,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,Asian,,,,,,,,,,,,,,
MTK0006,28,Some college,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0007,48,Master's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0008,28,Master's degree,Not Hispanic,Male,,engllish,Married/Domestic Partnership,United States,Black,,,,,,,,,,,,,,
MTK0010,34,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0011,42,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0012,44,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0013,34,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Black,,,,,,,,,,,,,,
MTK0014,43,Some graduate education,Not Hispanic,Female,,,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0015,28,Some college,Hispanic,Male,,English,Single,United States,White|Other,"Hispanic (Native American, European, and African descent)",,,,,,,,,,,,,
MTK0016,36,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0017,30,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0019,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
MTK0020,,,,,,,,,,,,,,,,,,,,,,,
MTK0021,31,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0022,26,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,Black,,,,,,,,,,,,,,
MTK0023,35,High school diploma,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0024,63,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0026,34,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0027,41,Bachelor's degree,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0028,28,Some college,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0029,53,Associate degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0031,,,,,,,,,,,,,,,,,,,,,,,
MTK0032,46,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0033,56,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0034,28,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0036,,,,,,,,,,,,,,,,,,,,,,,
MTK0037,,,,,,,,,,,,,,,,,,,,,,,
MTK0039,54,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0041,26,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0042,,,,,,,,,,,,,,,,,,,,,,,
MTK0043,,,,,,,,,,,,,,,,,,,,,,,
MTK0044,47,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,American Indian/Alaskan Native,,,,,,,,,,,,,,
MTK0045,,,,,,,,,,,,,,,,,,,,,,,
MTK0046,55,High school diploma,Not Hispanic,Female,,english,Separated,United States,White,,,,,,,,,,,,,,
MTK0047,30,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0048,23,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0049,30,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0050,50,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0051,36,Bachelor's degree,Not Reported,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0052,25,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0053,51,Doctorate degree,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0054,32,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0056,,,,,,,,,,,,,,,,,,,,,,,
MTK0057,50,Some college,Not Hispanic,Female,,English,Single,United States,Black|White,,,,,,,,,,,,,,
MTK0059,28,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0060,27,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0061,,,,,,,,,,,,,,,,,,,,,,,
MTK0062,34,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Asian,,,,,,,,,,,,,,
MTK0063,39,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0064,,,,,,,,,,,,,,,,,,,,,,,
MTK0065,31,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0066,24,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0067,30,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0068,43,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0069,44,High school diploma,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0070,32,Some college,Not Hispanic,Female,,ENGLISH,Married/Domestic Partnership,United States,Black,,,,,,,,,,,,,,
MTK0071,25,Associate degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0072,47,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0073,32,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0074,51,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0075,45,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0076,52,Doctorate degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0077,39,Master's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0078,32,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0079,22,High school diploma,Not Hispanic,Female,,,Single,United States,White,,,,,,,,,,,,,,
MTK0080,,,,,,,,,,,,,,,,,,,,,,,
MTK0081,,,,,,,,,,,,,,,,,,,,,,,
MTK0082,38,High school diploma,Not Hispanic,Male,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0083,36,Bachelor's degree,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0085,48,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0086,31,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0087,26,Some college,Not Hispanic,Female,,English,Single,United States,Asian,,,,,,,,,,,,,,
